artist(s)_name,released_year,key,mode,valence_%_ctg,danceability_%_ctg,energy_%_ctg,streams_%_ctg,speechiness_%_ctg,acousticness_%_ctg,bpm_ctg,top_playlists
"Tainy, Bad Bunny",2023,F#,Minor,70-74%,80-89%,70-74%,<100.00M,4-7%,13-18%,122-128,top_playlists7
Morgan Wallen,2023,F#,Major,50-54%,50-59%,65-69%,<450.00M,4-7%,38-50%,165-206,top_playlists6
Dua Lipa,2023,B,Minor,75-79%,60-69%,85-89%,<150.00M,4-7%,2-4%,105-114,top_playlists6
Troye Sivan,2023,F,Minor,35-39%,70-79%,80-84%,<50.00M,4-7%,0-1%,122-128,top_playlists7
"Peso Pluma, Grupo Frontera",2023,F#,Major,60-64%,50-59%,85-89%,<100.00M,4-7%,38-50%,165-206,top_playlists7
"The Weeknd, 21 Savage, Metro Boomin",2022,C#,Minor,15-19%,70-79%,60-64%,<850.00M,4-7%,27-37%,96-104,top_playlists5
Taylor Swift,2022,E,Major,50-54%,60-69%,60-64%,<1.00B,4-7%,8-12%,96-104,top_playlists5
"Karol G, Shakira",2023,E,Minor,60-64%,70-79%,60-64%,<650.00M,28-31%,51-71%,165-206,top_playlists6
"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023,C,Major,60-64%,80-89%,65-69%,<150.00M,4-7%,8-12%,115-121,top_playlists7
"Yahritza Y Su Esencia, Grupo Frontera",2023,F#,Major,35-39%,60-69%,70-74%,<200.00M,0-3%,27-37%,146-164,top_playlists7
Taylor Swift,2014,F,Major,55-59%,70-79%,65-69%,<1.40B,4-7%,8-12%,96-104,top_playlists4
Taylor Swift,2014,D,Major,45-49%,60-69%,75-79%,<800.00M,4-7%,0-1%,90-95,top_playlists5
Fuerza Regida,2023,F,Minor,95-100%,70-79%,85-89%,<200.00M,4-7%,27-37%,122-128,top_playlists7
"Junior H, Peso Pluma",2023,A,Minor,80-84%,50-59%,65-69%,<400.00M,4-7%,19-26%,138-145,top_playlists7
"Post Malone, Swae Lee",2018,D,Major,90-94%,70-79%,50-54%,<2.85B,4-7%,51-71%,90-95,top_playlists3
"Bebe Rexha, David Guetta",2022,G,Minor,35-39%,50-59%,95-100%,<1.15B,4-7%,2-4%,122-128,top_playlists4
"Tyler, The Creator, Kali Uchis",2017,F#,Major,55-59%,50-59%,55-59%,<1.05B,8-11%,27-37%,65-89,top_playlists4
"Nicki Minaj, Aqua, Ice Spice",2023,C,Major,75-79%,70-79%,55-59%,<100.00M,24-27%,51-71%,138-145,top_playlists7
Miley Cyrus,2020,F,Major,45-49%,60-69%,60-64%,<600.00M,0-3%,8-12%,122-128,top_playlists6
OneRepublic,2022,C,Major,80-84%,70-79%,80-84%,<1.10B,4-7%,8-12%,138-145,top_playlists5
The Weeknd,2016,C#,Minor,50-54%,50-59%,50-54%,<1.65B,4-7%,8-12%,129-137,top_playlists6
"The Weeknd, Daft Punk",2016,G,Major,45-49%,60-69%,55-59%,<2.60B,28-31%,13-18%,165-206,top_playlists2
"Ariana Grande, The Weeknd",2023,C#,Minor,50-54%,50-59%,50-54%,<550.00M,4-7%,19-26%,65-89,top_playlists6
